Model,Accuracy,Precision (w),Recall (w),F1 (weighted),F1 (macro)
LogReg (baseline),0.6458,0.851,0.6458,0.7206,0.4269
RandomForest (baseline),0.8383,0.7889,0.8383,0.8001,0.3823
LinearSVC (baseline),0.8185,0.8151,0.8185,0.8159,0.4467
XGBoost (baseline),0.8498,0.8056,0.8498,0.811,0.3972
LogReg (SMOTE),0.6418,0.8507,0.6418,0.7184,0.4247
RandomForest (SMOTE),0.8294,0.8021,0.8294,0.8144,0.4282
LinearSVC (SMOTE),0.6765,0.8431,0.6765,0.7378,0.4333
XGBoost (SMOTE),0.84,0.8103,0.84,0.8235,0.439
Tuned LogReg,0.6418,0.8507,0.6418,0.7184,0.4247
Tuned RandomForest,0.8303,0.8033,0.8303,0.8155,0.4299
Tuned LinearSVC,0.6765,0.8431,0.6765,0.7378,0.4333
Tuned XGBoost,0.8458,0.8019,0.8458,0.814,0.4087
